raw_score,mcq_score,ans_score,year,scaled_score,mcqs,ans,questions,mcq_prop,ans_prop,prop
26,23,3,2014,540,42,12,54,0.547619048,0.25,0.481481481
28,22,6,2014,560,42,12,54,0.523809524,0.5,0.518518519
29,22,7,2014,570,42,12,54,0.523809524,0.583333333,0.537037037
28,21,7,2014,560,42,12,54,0.5,0.583333333,0.518518519
28,23,5,2014,560,42,12,54,0.547619048,0.416666667,0.518518519
28,23,5,2014,560,42,12,54,0.547619048,0.416666667,0.518518519
29,24,5,2014,570,42,12,54,0.571428571,0.416666667,0.537037037
29,24,5,2014,570,42,12,54,0.571428571,0.416666667,0.537037037
28,22,6,2014,560,42,12,54,0.523809524,0.5,0.518518519
29,24,5,2014,570,42,12,54,0.571428571,0.416666667,0.537037037
26,22,4,2014,540,42,12,54,0.523809524,0.333333333,0.481481481
31,25,6,2014,570,42,12,54,0.595238095,0.5,0.574074074
22,19,3,2014,510,42,12,54,0.452380952,0.25,0.407407407
27,23,4,2014,550,42,12,54,0.547619048,0.333333333,0.5
34,27,7,2014,600,42,12,54,0.642857143,0.583333333,0.62962963
27,21,6,2014,550,42,12,54,0.5,0.5,0.5
26,21,5,2014,540,42,12,54,0.5,0.416666667,0.481481481
31,25,6,2014,570,42,12,54,0.595238095,0.5,0.574074074
31,26,5,2014,570,42,12,54,0.619047619,0.416666667,0.574074074
29,25,4,2014,570,42,12,54,0.595238095,0.333333333,0.537037037
28,23,5,2015,560,42,12,54,0.547619048,0.416666667,0.518518519
26,20,6,2015,540,42,12,54,0.476190476,0.5,0.481481481
23,17,6,2015,510,42,12,54,0.404761905,0.5,0.425925926
22,19,3,2015,510,42,12,54,0.452380952,0.25,0.407407407
27,20,7,2015,550,42,12,54,0.476190476,0.583333333,0.5
20,17,3,2015,500,42,12,54,0.404761905,0.25,0.37037037
30,22,8,2015,570,42,12,54,0.523809524,0.666666667,0.555555556
31,27,4,2015,570,42,12,54,0.642857143,0.333333333,0.574074074
29,23,6,2015,570,42,12,54,0.547619048,0.5,0.537037037
22,19,3,2015,510,42,12,54,0.452380952,0.25,0.407407407
30,24,6,2015,570,42,12,54,0.571428571,0.5,0.555555556
26,20,6,2015,540,42,12,54,0.476190476,0.5,0.481481481
31,25,6,2015,570,42,12,54,0.595238095,0.5,0.574074074
30,24,6,2015,570,42,12,54,0.571428571,0.5,0.555555556
24,21,3,2015,520,42,12,54,0.5,0.25,0.444444444
27,20,7,2015,550,42,12,54,0.476190476,0.583333333,0.5
25,20,5,2015,530,42,12,54,0.476190476,0.416666667,0.462962963
30,26,4,2015,570,42,12,54,0.619047619,0.333333333,0.555555556
26,19,7,2015,540,42,12,54,0.452380952,0.583333333,0.481481481
27,21,6,2015,550,42,12,54,0.5,0.5,0.5
30,24,6,2015,570,42,12,54,0.571428571,0.5,0.555555556
23,17,6,2015,510,42,12,54,0.404761905,0.5,0.425925926
23,18,5,2015,510,42,12,54,0.428571429,0.416666667,0.425925926
21,14,7,2015,510,42,12,54,0.333333333,0.583333333,0.388888889
28,22,6,2015,560,42,12,54,0.523809524,0.5,0.518518519
23,18,5,2015,510,42,12,54,0.428571429,0.416666667,0.425925926
34,29,5,2015,600,42,12,54,0.69047619,0.416666667,0.62962963
29,21,8,2015,570,42,12,54,0.5,0.666666667,0.537037037
33,25,8,2015,590,42,12,54,0.595238095,0.666666667,0.611111111
25,19,6,2015,530,42,12,54,0.452380952,0.5,0.462962963
27,21,6,2015,550,42,12,54,0.5,0.5,0.5
29,24,5,2015,570,42,12,54,0.571428571,0.416666667,0.537037037
26,21,5,2015,540,42,12,54,0.5,0.416666667,0.481481481
29,25,4,2015,570,42,12,54,0.595238095,0.333333333,0.537037037
22,19,3,2015,510,42,12,54,0.452380952,0.25,0.407407407
30,24,6,2015,570,42,12,54,0.571428571,0.5,0.555555556
24,19,5,2015,520,42,12,54,0.452380952,0.416666667,0.444444444
29,25,4,2015,570,42,12,54,0.595238095,0.333333333,0.537037037
29,22,7,2015,570,42,12,54,0.523809524,0.583333333,0.537037037
26,21,5,2015,540,42,12,54,0.5,0.416666667,0.481481481
28,22,6,2015,560,42,12,54,0.523809524,0.5,0.518518519
29,25,4,2015,570,42,12,54,0.595238095,0.333333333,0.537037037
28,24,4,2015,560,42,12,54,0.571428571,0.333333333,0.518518519
29,23,6,2015,570,42,12,54,0.547619048,0.5,0.537037037
30,25,5,2015,570,42,12,54,0.595238095,0.416666667,0.555555556
27,22,5,2015,550,42,12,54,0.523809524,0.416666667,0.5
24,20,4,2015,520,42,12,54,0.476190476,0.333333333,0.444444444
30,25,5,2015,570,42,12,54,0.595238095,0.416666667,0.555555556
29,24,5,2015,570,42,12,54,0.571428571,0.416666667,0.537037037
27,21,6,2015,550,42,12,54,0.5,0.5,0.5
29,23,6,2016,570,42,12,54,0.547619048,0.5,0.537037037
28,22,6,2016,560,42,12,54,0.523809524,0.5,0.518518519
28,23,5,2016,560,42,12,54,0.547619048,0.416666667,0.518518519
30,24,6,2016,570,42,12,54,0.571428571,0.5,0.555555556
26,20,6,2016,540,42,12,54,0.476190476,0.5,0.481481481
24,19,5,2016,520,42,12,54,0.452380952,0.416666667,0.444444444
28,23,5,2016,560,42,12,54,0.547619048,0.416666667,0.518518519
